step,stakeholder,query_type,mechanism,epsilon,error_meters,count_error,completeness,latency_ms
100,operator,location,laplace,1.0,510.2688153954255,0,1.0,1.0213851928710938
100,operator,count,laplace,1.0,0,0,1.0,0.0
200,operator,location,laplace,1.0,703.7062999898108,0,1.0,0.0
200,operator,count,laplace,1.0,0,3,1.0,0.0
300,operator,location,laplace,1.0,540.7035380304056,0,1.0,1.0073184967041016
300,operator,count,laplace,1.0,0,0,1.0,1.4238357543945312
300,planner,location,k_anonymity,5,260.91621000944934,0,1.0,13.118743896484375
300,planner,count,k_anonymity,5,0,0,1.0,0.0
400,operator,location,laplace,1.0,556.7484133204689,0,1.0,2.0945072174072266
400,operator,count,laplace,1.0,0,1,1.0,0.0
500,operator,location,laplace,1.0,478.1584464772495,0,1.0,1.0335445404052734
500,operator,count,laplace,1.0,0,1,1.0,1.3885498046875
600,operator,location,laplace,1.0,548.7211629060928,0,1.0,0.0
600,operator,count,laplace,1.0,0,4,1.0,0.0
600,planner,location,k_anonymity,5,207.59179213427228,0,1.0,21.594762802124023
600,planner,count,k_anonymity,5,0,0,1.0,0.0
700,operator,location,laplace,1.0,448.1778367300495,0,1.0,0.0
700,operator,count,laplace,1.0,0,5,1.0,0.0
800,operator,location,laplace,1.0,541.2233593088336,0,1.0,0.0
800,operator,count,laplace,1.0,0,1,1.0,0.0
900,operator,location,laplace,1.0,591.4852283918032,0,1.0,0.0
900,operator,count,laplace,1.0,0,0,1.0,0.0
900,planner,location,k_anonymity,5,214.08209355483476,0,1.0,29.489994049072266
900,planner,count,k_anonymity,5,0,0,1.0,0.0
1000,operator,location,laplace,1.0,516.8042642054783,0,1.0,12.79592514038086
1000,operator,count,laplace,1.0,0,4,1.0,0.0
1100,operator,location,laplace,1.0,523.6261695834959,0,1.0,0.0
1100,operator,count,laplace,1.0,0,1,1.0,0.0
1200,operator,location,laplace,1.0,601.1637069494869,0,1.0,1.0852813720703125
1200,operator,count,laplace,1.0,0,3,1.0,4.785776138305664
1200,planner,location,k_anonymity,5,162.9632008064852,0,1.0,35.62283515930176
1200,planner,count,k_anonymity,5,0,0,1.0,0.0
1300,operator,location,laplace,1.0,600.0642080334906,0,1.0,17.85588264465332
1300,operator,count,laplace,1.0,0,6,1.0,0.0
1400,operator,location,laplace,1.0,571.4746967951776,0,1.0,6.004571914672852
1400,operator,count,laplace,1.0,0,1,1.0,0.7383823394775391
1500,operator,location,laplace,1.0,626.2580441779263,0,1.0,0.0
1500,operator,count,laplace,1.0,0,4,1.0,0.0
1500,planner,location,k_anonymity,5,275.455770961924,0,1.0,28.84674072265625
1500,planner,count,k_anonymity,5,0,0,1.0,0.0
1600,operator,location,laplace,1.0,496.827873185746,0,1.0,0.0
1600,operator,count,laplace,1.0,0,5,1.0,11.241674423217773
1700,operator,location,laplace,1.0,541.8358210290329,0,1.0,10.956287384033203
1700,operator,count,laplace,1.0,0,2,1.0,1.8138885498046875
1800,operator,location,laplace,1.0,562.5311992193338,0,1.0,19.636154174804688
1800,operator,count,laplace,1.0,0,0,1.0,2.41851806640625
1800,planner,location,k_anonymity,5,173.08434714014402,0,1.0,60.34564971923828
1800,planner,count,k_anonymity,5,0,0,1.0,0.0
1900,operator,location,laplace,1.0,545.2548900671334,0,1.0,7.304906845092773
1900,operator,count,laplace,1.0,0,0,1.0,0.8103847503662109
2000,operator,location,laplace,1.0,515.9357245860077,0,1.0,16.672134399414062
2000,operator,count,laplace,1.0,0,1,1.0,0.6151199340820312
2100,operator,location,laplace,1.0,532.5046490452254,0,1.0,15.924453735351562
2100,operator,count,laplace,1.0,0,0,1.0,9.249448776245117
2100,planner,location,k_anonymity,5,112.10593966300435,0,1.0,73.94266128540039
2100,planner,count,k_anonymity,5,0,0,1.0,0.0
2200,operator,location,laplace,1.0,509.6723561675129,0,1.0,15.742063522338867
2200,operator,count,laplace,1.0,0,2,1.0,5.527734756469727
2300,operator,location,laplace,1.0,569.8358407922311,0,1.0,0.0
2300,operator,count,laplace,1.0,0,1,1.0,0.0
2400,operator,location,laplace,1.0,508.9896266366366,0,1.0,7.165193557739258
2400,operator,count,laplace,1.0,0,2,1.0,0.0
2400,planner,location,k_anonymity,5,179.25251075814435,0,1.0,71.87724113464355
2400,planner,count,k_anonymity,5,0,0,1.0,0.0
2500,operator,location,laplace,1.0,531.6742247016905,0,1.0,0.0
2500,operator,count,laplace,1.0,0,1,1.0,14.508485794067383
2600,operator,location,laplace,1.0,574.1133006828227,0,1.0,9.967803955078125
2600,operator,count,laplace,1.0,0,3,1.0,0.0
2700,operator,location,laplace,1.0,525.6393929007608,0,1.0,9.334564208984375
2700,operator,count,laplace,1.0,0,0,1.0,0.0
2700,planner,location,k_anonymity,5,184.33944652068215,0,1.0,76.3249397277832
2700,planner,count,k_anonymity,5,0,0,1.0,0.0
2800,operator,location,laplace,1.0,581.7057044413947,0,1.0,9.881973266601562
2800,operator,count,laplace,1.0,0,1,1.0,0.823974609375
2900,operator,location,laplace,1.0,544.1907233055539,0,1.0,0.0
