step,stakeholder,query_type,mechanism,epsilon,error_meters,count_error,completeness,latency_ms
100,operator,location,none,inf,0.0,0,1.0,0.0
100,operator,count,none,inf,0,0,1.0,0.0
200,operator,location,none,inf,0.0,0,1.0,0.0
200,operator,count,none,inf,0,0,1.0,0.0
300,operator,location,none,inf,0.0,0,1.0,0.0
300,operator,count,none,inf,0,0,1.0,0.0
300,planner,location,none,inf,0.0,0,1.0,0.0
300,planner,count,none,inf,0,0,1.0,0.0
400,operator,location,none,inf,0.0,0,1.0,0.0
400,operator,count,none,inf,0,0,1.0,0.0
500,operator,location,none,inf,0.0,0,1.0,0.0
500,operator,count,none,inf,0,0,1.0,0.0
600,operator,location,none,inf,0.0,0,1.0,0.0
600,operator,count,none,inf,0,0,1.0,0.0
600,planner,location,none,inf,0.0,0,1.0,0.0
600,planner,count,none,inf,0,0,1.0,0.0
700,operator,location,none,inf,0.0,0,1.0,0.0
700,operator,count,none,inf,0,0,1.0,0.0
800,operator,location,none,inf,0.0,0,1.0,0.0
800,operator,count,none,inf,0,0,1.0,0.0
900,operator,location,none,inf,0.0,0,1.0,0.0
900,operator,count,none,inf,0,0,1.0,0.0
900,planner,location,none,inf,0.0,0,1.0,0.0
900,planner,count,none,inf,0,0,1.0,0.0
1000,operator,location,none,inf,0.0,0,1.0,0.0
1000,operator,count,none,inf,0,0,1.0,0.0
1100,operator,location,none,inf,0.0,0,1.0,0.0
1100,operator,count,none,inf,0,0,1.0,0.0
1200,operator,location,none,inf,0.0,0,1.0,0.0
1200,operator,count,none,inf,0,0,1.0,0.0
1200,planner,location,none,inf,0.0,0,1.0,0.0
1200,planner,count,none,inf,0,0,1.0,0.0
1300,operator,location,none,inf,0.0,0,1.0,0.0
1300,operator,count,none,inf,0,0,1.0,0.0
1400,operator,location,none,inf,0.0,0,1.0,0.0
1400,operator,count,none,inf,0,0,1.0,0.0
1500,operator,location,none,inf,0.0,0,1.0,0.0
1500,operator,count,none,inf,0,0,1.0,0.0
1500,planner,location,none,inf,0.0,0,1.0,0.0
1500,planner,count,none,inf,0,0,1.0,0.0
1600,operator,location,none,inf,0.0,0,1.0,0.0
1600,operator,count,none,inf,0,0,1.0,0.0
1700,operator,location,none,inf,0.0,0,1.0,0.0
1700,operator,count,none,inf,0,0,1.0,0.0
1800,operator,location,none,inf,0.0,0,1.0,0.0
1800,operator,count,none,inf,0,0,1.0,0.0
1800,planner,location,none,inf,0.0,0,1.0,1.0097026824951172
1800,planner,count,none,inf,0,0,1.0,0.0
1900,operator,location,none,inf,0.0,0,1.0,0.0
1900,operator,count,none,inf,0,0,1.0,0.0
2000,operator,location,none,inf,0.0,0,1.0,0.0
2000,operator,count,none,inf,0,0,1.0,0.0
2100,operator,location,none,inf,0.0,0,1.0,0.0
2100,operator,count,none,inf,0,0,1.0,0.0
2100,planner,location,none,inf,0.0,0,1.0,0.0
2100,planner,count,none,inf,0,0,1.0,0.0
2200,operator,location,none,inf,0.0,0,1.0,0.0
2200,operator,count,none,inf,0,0,1.0,0.0
2300,operator,location,none,inf,0.0,0,1.0,0.0
2300,operator,count,none,inf,0,0,1.0,0.0
2400,operator,location,none,inf,0.0,0,1.0,0.0
2400,operator,count,none,inf,0,0,1.0,0.0
2400,planner,location,none,inf,0.0,0,1.0,0.0
2400,planner,count,none,inf,0,0,1.0,0.0
2500,operator,location,none,inf,0.0,0,1.0,0.0
2500,operator,count,none,inf,0,0,1.0,0.0
2600,operator,location,none,inf,0.0,0,1.0,0.0
2600,operator,count,none,inf,0,0,1.0,0.0
2700,operator,location,none,inf,0.0,0,1.0,0.0
2700,operator,count,none,inf,0,0,1.0,0.0
2700,planner,location,none,inf,0.0,0,1.0,0.0
