step,stakeholder,query_type,mechanism,epsilon,error_meters,count_error,completeness,latency_ms
100,operator,location,none,inf,0.36404196051338134,0,1.0,0.0
100,operator,count,none,inf,0,1,1.0,0.0
200,operator,location,none,inf,0.0,0,1.0,0.0
200,operator,count,none,inf,0,0,1.0,0.0
300,operator,location,none,inf,21.614151074836368,0,1.0,0.0
300,operator,count,none,inf,0,2,1.0,0.0
300,planner,location,none,inf,21.614151074836368,0,1.0,0.0
300,planner,count,none,inf,0,2,1.0,0.0
400,operator,location,none,inf,10.153086278312982,0,1.0,0.0
400,operator,count,none,inf,0,2,1.0,0.0
500,operator,location,none,inf,0.0626697096437288,0,1.0,0.0
500,operator,count,none,inf,0,0,1.0,0.0
600,operator,location,none,inf,12.380065021226667,0,1.0,0.0
600,operator,count,none,inf,0,2,1.0,0.0
600,planner,location,none,inf,12.380065021226667,0,1.0,0.0
600,planner,count,none,inf,0,2,1.0,0.0
700,operator,location,none,inf,11.379329985306207,0,1.0,0.0
700,operator,count,none,inf,0,2,1.0,0.0
800,operator,location,none,inf,1.16080406576184,0,1.0,0.0
800,operator,count,none,inf,0,4,1.0,0.0
900,operator,location,none,inf,5.275872658250403,0,1.0,0.0
900,operator,count,none,inf,0,4,1.0,0.0
900,planner,location,none,inf,5.275872658250403,0,1.0,0.0
900,planner,count,none,inf,0,4,1.0,0.0
1000,operator,location,none,inf,10.043220591199747,0,1.0,0.0
1000,operator,count,none,inf,0,3,1.0,0.0
1100,operator,location,none,inf,1.8981552152711831,0,1.0,0.0
1100,operator,count,none,inf,0,3,1.0,0.0
1200,operator,location,none,inf,8.269651096347634,0,1.0,0.0
1200,operator,count,none,inf,0,3,1.0,0.0
1200,planner,location,none,inf,8.269651096347634,0,1.0,0.0
1200,planner,count,none,inf,0,3,1.0,0.0
1300,operator,location,none,inf,18.199771457452652,0,1.0,0.0
1300,operator,count,none,inf,0,4,1.0,0.0
1400,operator,location,none,inf,8.212019160160917,0,1.0,0.0
1400,operator,count,none,inf,0,8,1.0,0.0
1500,operator,location,none,inf,3.6953362126811817,0,1.0,0.0
1500,operator,count,none,inf,0,9,1.0,0.0
1500,planner,location,none,inf,3.6953362126811817,0,1.0,0.0
1500,planner,count,none,inf,0,9,1.0,0.0
1600,operator,location,none,inf,4.555466606352948,0,1.0,0.0
1600,operator,count,none,inf,0,10,1.0,0.0
1700,operator,location,none,inf,3.367801081321339,0,1.0,0.0
1700,operator,count,none,inf,0,8,1.0,0.0
1800,operator,location,none,inf,4.097327585718779,0,1.0,0.0
1800,operator,count,none,inf,0,9,1.0,0.0
1800,planner,location,none,inf,4.097327585718779,0,1.0,0.0
1800,planner,count,none,inf,0,9,1.0,0.0
1900,operator,location,none,inf,3.2437940503595684,0,1.0,0.0
1900,operator,count,none,inf,0,8,1.0,0.0
2000,operator,location,none,inf,3.5846888192388215,0,1.0,0.0
2000,operator,count,none,inf,0,8,1.0,0.0
2100,operator,location,none,inf,11.259399528763266,0,1.0,0.0
2100,operator,count,none,inf,0,10,1.0,0.0
2100,planner,location,none,inf,11.259399528763266,0,1.0,0.0
2100,planner,count,none,inf,0,10,1.0,0.0
2200,operator,location,none,inf,6.342212973289088,0,1.0,0.0
