step,stakeholder,query_type,mechanism,epsilon,error_meters,count_error,completeness,latency_ms
100,operator,location,laplace,1.0,655.879516675312,0,1.0,1.0075569152832031
100,operator,count,laplace,1.0,0,1,1.0,0.0
200,operator,location,laplace,1.0,517.7746670570042,0,1.0,0.0
200,operator,count,laplace,1.0,0,1,1.0,0.0
300,operator,location,laplace,1.0,418.4330217635658,0,1.0,1.4793872833251953
300,operator,count,laplace,1.0,0,1,1.0,0.0
300,planner,location,laplace,1.0,546.2392632639215,0,1.0,1.0349750518798828
300,planner,count,laplace,1.0,0,3,1.0,1.3744831085205078
400,operator,location,laplace,1.0,507.2596458596337,0,1.0,1.0516643524169922
400,operator,count,laplace,1.0,0,5,1.0,0.0
500,operator,location,laplace,1.0,666.9251363674648,0,1.0,2.014636993408203
500,operator,count,laplace,1.0,0,0,1.0,0.0
600,operator,location,laplace,1.0,548.5260928971566,0,1.0,2.025127410888672
600,operator,count,laplace,1.0,0,3,1.0,1.214742660522461
600,planner,location,laplace,1.0,477.096447521464,0,1.0,2.020120620727539
600,planner,count,laplace,1.0,0,1,1.0,1.3248920440673828
700,operator,location,laplace,1.0,591.3795468607154,0,1.0,3.273487091064453
700,operator,count,laplace,1.0,0,1,1.0,0.0
800,operator,location,laplace,1.0,555.5687583825422,0,1.0,0.0
800,operator,count,laplace,1.0,0,0,1.0,0.0
900,operator,location,laplace,1.0,549.5263175249765,0,1.0,0.0
900,operator,count,laplace,1.0,0,1,1.0,0.0
900,planner,location,laplace,1.0,654.445800041044,0,1.0,0.0
900,planner,count,laplace,1.0,0,0,1.0,10.440349578857422
1000,operator,location,laplace,1.0,454.6799155962781,0,1.0,0.0
1000,operator,count,laplace,1.0,0,0,1.0,0.0
1100,operator,location,laplace,1.0,489.65296361262074,0,1.0,0.0
1100,operator,count,laplace,1.0,0,2,1.0,10.016918182373047
1200,operator,location,laplace,1.0,562.5553226431924,0,1.0,15.745401382446289
1200,operator,count,laplace,1.0,0,0,1.0,0.0
1200,planner,location,laplace,1.0,481.77086462128625,0,1.0,9.693622589111328
1200,planner,count,laplace,1.0,0,3,1.0,1.1098384857177734
1300,operator,location,laplace,1.0,534.2682466993167,0,1.0,0.0
1300,operator,count,laplace,1.0,0,2,1.0,0.0
1400,operator,location,laplace,1.0,560.8939555225081,0,1.0,0.0
1400,operator,count,laplace,1.0,0,11,1.0,0.0
1500,operator,location,laplace,1.0,485.00484704224516,0,1.0,0.0
1500,operator,count,laplace,1.0,0,1,1.0,15.033245086669922
